title,artist,album,year,track,genre,length
4,aphex twin,richard d. james album,1997,1,,216
cornish acid,aphex twin,richard d. james album,1997,2,,134
peek 824545201,aphex twin,richard d. james album,1997,3,,185
fingerbib,aphex twin,richard d. james album,1997,4,,228
carn marth,aphex twin,richard d. james album,1997,5,,153
to cure a weakling child,aphex twin,richard d. james album,1997,6,,243
goon gumpas,aphex twin,richard d. james album,1997,7,,122
yellow calx,aphex twin,richard d. james album,1997,8,,182
girl/boy song,aphex twin,richard d. james album,1997,9,,287
logan rock witch,aphex twin,richard d. james album,1997,10,,212
milk man,aphex twin,richard d. james album,1997,11,,249
inkey$,aphex twin,richard d. james album,1997,12,,84
girl/boy song (£18 snare rush mix),aphex twin,richard d. james album,1997,13,,117
beetles,aphex twin,richard d. james album,1997,14,,91
girl/boy song (redruth mix),aphex twin,richard d. james album,1997,15,,97
web in front,archers of loaf,icky mettle,1993,1,,124
last word,archers of loaf,icky mettle,1993,2,,216
wrong,archers of loaf,icky mettle,1993,3,,221
you and me,archers of loaf,icky mettle,1993,4,,190
might,archers of loaf,icky mettle,1993,5,,124
hate paste,archers of loaf,icky mettle,1993,6,,166
fat,archers of loaf,icky mettle,1993,7,,78
plumb line,archers of loaf,icky mettle,1993,8,,124
"learo, you're a hole",archers of loaf,icky mettle,1993,9,,230
sickfile,archers of loaf,icky mettle,1993,10,,103
toast,archers of loaf,icky mettle,1993,11,,278
backwash,archers of loaf,icky mettle,1993,12,,206
slow worm,archers of loaf,icky mettle,1993,13,,209
i don't wanna go out,averkiou,throwing sparks,0,1,,199
holland and headaches,averkiou,throwing sparks,0,2,,210
new york friends,averkiou,throwing sparks,0,3,,271
the south wall,averkiou,throwing sparks,0,4,,213
we'll stand erect,averkiou,throwing sparks,0,5,,155
"sudden death, over time",averkiou,throwing sparks,0,6,,220
girls go out,averkiou,throwing sparks,0,7,,160
give'm what he wants,averkiou,throwing sparks,0,8,,110
for ex-lovers only,black tambourine,complete recordings,1999,1,,161
black car,black tambourine,complete recordings,1999,2,,209
pack you up,black tambourine,complete recordings,1999,3,,147
can't explain,black tambourine,complete recordings,1999,4,,144
i was wrong,black tambourine,complete recordings,1999,5,,96
throw aggi off the bridge,black tambourine,complete recordings,1999,6,,198
drown,black tambourine,complete recordings,1999,7,,162
we can't be friends,black tambourine,complete recordings,1999,8,,110
by tomorrow,black tambourine,complete recordings,1999,9,,185
pam's tan,black tambourine,complete recordings,1999,10,,80
wildlife analysis,boards of canada,music has the right to children,1998,1,electronic,77
an eagle in your mind,boards of canada,music has the right to children,1998,2,electronic,383
the color of the fire,boards of canada,music has the right to children,1998,3,electronic,105
telephasic workshop,boards of canada,music has the right to children,1998,4,electronic,395
triangles & rhombuses,boards of canada,music has the right to children,1998,5,electronic,110
sixtyten,boards of canada,music has the right to children,1998,6,electronic,348
turquoise hexagon sun,boards of canada,music has the right to children,1998,7,electronic,307
kaini industries,boards of canada,music has the right to children,1998,8,electronic,59
bocuma,boards of canada,music has the right to children,1998,9,electronic,96
